"query","intent","event_url","product_url","pill_url"
"whens the next bluebell workshops and whats the cost","events","https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-20","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops"
"when is the next devon workshop","events","https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-devon-seascapes-ynfcl","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay"
"what is your next workshop date and where is it","advice",,,
"when are your next Autumn workshops and where are they?","events","https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops"
"How much is a residential photography course and does it include B&B","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"What tripod do you recommend","advice",,,
"Do you I get a certificate with the photography course","advice",,,
"What sort of camera do I need for your camera course","advice",,,
"Do I need a laptop for the lightroom course","advice",,,
"Do you do astrophotography workshops","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"How do I get personalised feedback on my images","advice",,,
"Is the online photography course really free","advice",,,
"Can my 14yr old attend your workshop","events",,,
"What is long exposure and how can I find out more about it","advice",,,
"My pictures never seem sharp.  Can you advise on what I am doing wrong","advice",,,
"General / About / Navigation","advice",,,
"1. Who is Alan Ranger and what is his photographic background?","advice",,,
"2. Where is Alan Ranger based?","advice",,,
"3. What types of photography services do you offer?","advice",,,
"4. What is ?Pick N Mix? in the payment plans?","error","","",""
"5. How can I contact you or book a discovery call?","advice",,,
"6. Do you offer gift vouchers?","advice",,,
"7. What is your cancellation or refund policy for courses/workshops?","advice",,,
"8. How do I subscribe to the free online photography course?","advice",,,
"9. Where is your gallery and can I submit my images for feedback?","advice",,,
"10. What ethical guidelines do you follow as a photography tutor?","advice",,,
"Courses, Workshops & Tuition","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"11. What courses do you offer for complete beginners?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"12. Do you run evening classes in Coventry?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"13. How many weeks is the beginners? photography course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"14. Can I just take the ?Get Off Auto? class as a standalone?","error","","",""
"15. What topics are covered in the 5-week beginner course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"16. What if I miss one of the weekly classes?can I make it up?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"17. Do you offer online or Zoom lessons / mentoring?","advice",,,
"18. How much do 1-2-1 private lessons cost?","advice",,,
"19. Do you offer residential workshops or multi-day field trips?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"20. How many students per workshop / class?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"21. What gear or equipment do I need to bring to a workshop?","advice",,,
"22. Can I sign up to monthly mentoring assignments?","advice",,,
"23. Do you offer Lightroom / post-processing courses?","events","https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry"
"24. What is RPS Mentoring, and can you help me with that?","advice",,,
"25. Are there any prerequisites for advanced courses?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"Services / Commercial & Private Shoots","advice",,,
"26. Do you do property photography / real estate photography?","advice",,,
"27. Can you do product photography for my e-commerce store?","advice",,,
"28. What is your pricing structure for portrait / headshot work?","advice",,,
"29. Do you train staff in corporate photography for businesses?","advice",,,
"30. How far will you travel for a shoot (within UK / internationally)?","advice",,,
"31. Do you provide retouching / editing services?","advice",,,
"32. Can I order fine art prints from you?","advice",,,
"33. What is your turnaround time for delivering images?","advice",,,
"34. Do you provide usage rights or licensing for your photos?","advice",,,
"35. Can I commission you for a commercial photography project?","advice",,,
"Booking, Payment & Logistics","advice",,,
"36. How do I book a course or workshop?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"37. What payment options are available?","advice",,,
"38. Do you offer payment plans or spreading the cost?","advice",,,
"39. What happens if a course is canceled due to low enrolment or weather?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"40. What are the location details for your courses (venues, parking etc.)?","advice",,,
"41. Are there discounts for multiple bookings (e.g. bundle deals)?","advice",,,
"42. If a workshop is outdoors, what happens in bad weather?","events",,,
"43. Can I change the date of my booking?","advice",,,
"44. How early should I arrive before a class or workshop begins?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"45. Do you require a deposit, and when is full payment due?","advice",,,
"Technical / Photography Questions","advice",,,
"46. How do I choose between shooting JPEG vs RAW?","advice",,,
"47. What is the exposure triangle (aperture, shutter, ISO)?","advice",,,
"48. How do I improve my composition and storytelling in photos?","advice",,,
"49. When should I use ND filters or graduated filters?","advice",,,
"50. What is depth of field, and how do I control it?","advice",,,
"51. What is white balance and how do I use it?","advice",,,
"52. How do I focus manually vs autofocus?","advice",,,
"53. What is the difference between prime and zoom lenses?","advice",,,
"54. How do I use flash photography?","advice",,,
"55. What is HDR photography?","advice",,,
"56. How do I shoot in low light?","advice",,,
"57. What memory card should I buy?","advice",,,
"58. Do I need a camera bag?","advice",,,
"59. What is the best lens for portraits?","advice",,,
"60. Should I buy a full-frame or crop sensor camera?","advice",,,
"61. What accessories do I need for landscape photography?","advice",,,
"62. What is Lightroom vs Photoshop?","advice",,,
"63. How do I edit RAW files?","advice",,,
"64. What is color grading?","advice",,,
"65. How do I remove unwanted objects from photos?","advice",,,
"66. What are presets and how do I use them?","advice",,,
"67. How much do you charge for headshots?","advice",,,
"68. Do you travel for photography sessions?","advice",,,
"69. What is your turnaround time?","advice",,,
"70. Do you offer group discounts?","advice",,,
"71. Can you teach my staff photography?","advice",,,
"72. What is included in the beginner course?","advice",,,
"73. How long are your workshops?","events","https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-kenilworth-crackley-woods","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth"
"74. Do you provide course materials?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"75. Can I get a refund if I can't attend?","advice",,,
"76. What happens if it rains during outdoor workshops?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"77. How do I improve my photography skills?","advice",,,
"78. What makes a good photograph?","advice",,,
"79. How do I find my photography style?","advice",,,
"80. What are common photography mistakes?","advice",,,
"81. How do I build a photography portfolio?","advice",,,
"82. What landscape photography workshops do you run near me?","events","https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop","https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops","https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops"
"83. How do I book a one-day workshop?","events",,,
"84. Do you run workshops in the Lake District or Wales?","events","https://www.alanranger.com/photographic-workshops-near-me/wales-photography-workshop-vyrnwy-pistyll-rhaeadr","https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr","https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr"
"85. What's included in your photography workshops?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"86. Are your workshops suitable for beginners?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"87. How many people are in each workshop group?","events",,,
"88. Do I need my own camera and tripod?","advice",,,
"89. What happens if it rains during a workshop?","events",,,
"90. Can I get a private workshop for my photography club?","advice",,,
"91. Do you offer weekend or evening workshops?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"92. How do I join the beginners' photography lessons in Coventry?","advice",,,
"93. What will I learn in the ""Get Off Auto"" course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"94. Are the beginners' classes suitable for DSLR and mirrorless users?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"95. Can I attend online instead of in person?","advice",,,
"96. How long does the beginners' course last?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"97. Do I get feedback or assignments during the course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"98. Can I repeat a class if I miss one?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"99. What's the difference between the lessons and workshops?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"100. What level should I be before taking the intermediate course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"101. Is there a certificate at the end?","advice",,,
"102. Can I buy a photography gift voucher online?","advice",,,
"103. How long are the vouchers valid for?","advice",,,
"104. Can the gift voucher be used for any workshop or course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"105. Do you offer physical gift cards or only digital?","advice",,,
"106. How does the ""Pick N Mix"" payment plan work?","advice",,,
"107. Can I pay for a course in instalments?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"108. Do you accept PayPal or credit cards?","advice",,,
"109. What happens if I cancel after paying with a plan?","advice",,,
"110. Can I transfer a booking paid via Pick N Mix to someone else?","advice",,,
"111. Do vouchers cover private lessons too?","advice",,,
"112. What's included in your photography mentoring program?","advice",,,
"113. How do monthly assignments work in mentoring?","advice",,,
"114. Can I book one-to-one photography tuition near Coventry?","advice",,,
"115. Do you mentor RPS distinction candidates?","advice",,,
"116. How often do private lessons run?","advice",,,
"117. Is mentoring done via Zoom or in person?","advice",,,
"118. Can I book an ongoing coaching package?","advice",,,
"119. What's the difference between mentoring and private tuition?","advice",,,
"120. Do you give portfolio feedback or image critiques?","advice",,,
"121. Can I pause or resume mentoring later?","advice",,,
"122. Where can I find your terms and conditions?","advice",,,
"123. What's your refund policy for workshops or lessons?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"124. Do you have a privacy policy about newsletter sign-ups?","advice",,,
"125. How do I subscribe to your newsletter?","advice",,,
"126. How do I contact Alan directly?","advice",,,
"127. Where are your photography sessions held?","advice",,,
"128. Do you offer corporate training or team photography days?","advice",,,
"129. Can I see your awards and qualifications?","advice",,,
"130. Where can I read your photography blog and tips?","advice",,,
"131. How do I know which course or workshop is best for me?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"132. What is exposure and how do I control it?","advice",,,
"133. How does aperture affect exposure and depth of field?","advice",,,
"134. What does shutter speed do in photography?","advice",,,
"135. How does ISO sensitivity influence image brightness?","advice",,,
"136. What are the relationships between aperture","advice",,,
"137. How do I use manual mode effectively?","advice",,,
"138. What is the exposure triangle?","advice",,,
"139. How do camera metering modes work?","advice",,,
"140. When should I use spot vs evaluative metering?","advice",,,
"141. What is exposure bracketing and when should I use it?","advice",,,
"142. How do I ensure my focus is sharp in every shot?","advice",,,
"143. What causes out-of-focus images and how can I prevent it?","advice",,,
"144. How do I control depth of field for portraits vs landscapes?","advice",,,
"145. What is dynamic range and how do I maximise it?","advice",,,
"146. How do I balance highlights and shadows in-camera?","advice",,,
"147. What is white balance and how do I set it correctly?","advice",,,
"148. What's the difference between auto and manual white balance?","advice",,,
"149. How do drive modes work on my camera?","advice",,,
"150. When should I use continuous shooting vs single shot?","advice",,,
"151. What are the pros and cons of shooting JPEG vs RAW?","advice",,,
"152. When should I shoot RAW instead of JPEG?","advice",,,
"153. What is the difference between full-frame and cropped sensors?","advice",,,
"154. How does sensor size affect field of view and image quality?","advice",,,
"155. What is focal length and how does it change perspective?","advice",,,
"156. How does focal length affect compression in portraits and landscapes?","advice",,,
"157. What are the 10 most essential camera accessories?","advice",,,
"158. How do I choose my first camera bag?","advice",,,
"159. What's the difference between prime and zoom lenses?","advice",,,
"160. Should I buy new","advice",,,
"161. How do I clean my camera sensor safely?","advice",,,
"162. What filters should I own as a beginner?","advice",,,
"163. What do ND filters do and when should I use them?","advice",,,
"164. Are UV filters necessary for lens protection?","advice",,,
"165. How do I choose the right tripod?","advice",,,
"166. How do I stabilise my tripod on uneven ground?","advice",,,
"167. What are mirrorless cameras and are they better than DSLRs?","advice",,,
"168. How do I select the best editing software in 2025?","advice",,,
"169. What's the difference between Lightroom and Photoshop?","advice",,,
"170. How do I import and organise photos for editing?","advice",,,
"171. What's the best workflow for editing RAW images?","advice",,,
"172. What is framing and how do I use it in composition?","advice",,,
"173. How do I develop my own photography style?","advice",,,
"174. What makes a photo tell a story?","advice",,,
"175. What is visual storytelling in photography?","advice",,,
"176. How do I find compositional balance in an image?","advice",,,
"177. What is contrast and how does it affect composition?","advice",,,
"178. How do I improve my photography composition overall?","advice",,,
"179. What is negative space and how can I use it creatively?","advice",,,
"180. What are the main composition rules in photography?","advice",,,
"181. How do I use the rule of thirds effectively?","advice",,,
"182. What are leading lines and how do they guide the viewer's eye?","advice",,,
"183. How can I break composition rules intentionally?","advice",,,
"184. What's the difference between balance and symmetry?","advice",,,
"185. How do light and colour affect composition?","advice",,,
"186. What are the best compositional tips for landscapes?","advice",,,
"187. How do I photograph architecture effectively?","advice",,,
"188. What is minimalist photography and how can I try it?","advice",,,
"189. How do I take great portrait photos?","advice",,,
"190. What are the key settings for street photography?","advice",,,
"191. How do I shoot product photos with simple setups?","advice",,,
"192. What is still life photography and what gear do I need?","advice",,,
"193. How do I capture long exposure photos at night?","advice",,,
"194. What are the best techniques for macro photography?","advice",,,
"195. How can I improve my landscape photography?","advice",,,
"196. How do I shoot effective black and white images?","advice",,,
"197. How do lighting conditions change across genres?","advice",,,
"198. What camera mode should I use for portraits?","advice",,,
"199. What's the best lens for street photography?","advice",,,
"200. How do I control reflections in product photography?","advice",,,
"201. How can I photograph architecture with straight lines?","advice",,,
"202. How can I practice depth of field control?","advice",,,
"203. What exercises help me understand movement blur?","advice",,,
"204. What is a triptych and how do I create one?","advice",,,
"205. How can I experiment with minimalism in photography?","advice",,,
"206. How do I photograph dice or still objects creatively?","advice",,,
"207. How do I shoot portraits using natural light?","advice",,,
"208. What makes a strong landscape composition?","advice",,,
"209. How do I photograph macro subjects like flowers or insects?","advice",,,
"210. How do I plan an architecture photography shoot?","advice",,,
"211. How do I capture the essence of street life?","advice",,,
"212. How do I photograph still life with interesting shadows?","advice",,,
"213. What's the best approach to black and white assignments?","advice",,,
"214. How do I use the seasons to influence my photography?","advice",,,
"215. What are creative ways to interpret ""shadow photography""?","advice",,,
"216. How can I combine multiple assignments into one creative project?","advice",,,
"217. How do I print photos in the correct size and resolution?","advice",,,
"218. What DPI should I use for printing high-quality images?","advice",,,
"219. How do I resize images for web vs print?","advice",,,
"220. What is the history of photography from film to digital?","advice",,,
"221. How can I test my colour vision accuracy?","advice",,,
"222. How do I back up my photos safely using the 3-2-1 method?","advice",,,
"223. What's the best way to store and organise digital files?","advice",,,
"224. How can I use the exposure calculator tool on the site?","advice",,,
"225. How does light change throughout the seasons?","advice",,,
"226. What are key tips for shooting in different seasonal conditions?","advice",,,
"227. What defines abstract photography and how do I approach it?","advice",,,
"228. How do I photograph shadows effectively?","advice",,,
"229. What's the difference between DSLR and point-and-shoot cameras?","advice",,,
"230. How can I improve my technical control while keeping creativity?","advice",,,
"231. How can I combine all modules to build a strong photography portfolio?","advice",,,
