idx,query,expected,detected,events,articles,pills,result
"1","whens the next bluebell workshops and whats the cost","events","events","71","0","4","PASS"
"2","when is the next devon workshop?","events","events","71","0","4","PASS"
"3","what is your next workshop date and where is it?","events","events","71","0","4","PASS"
"4","when are your next Autumn workshops and where are they?","events","events","71","0","4","PASS"
"5","How much is a residential photography course and does it include B&B?","events","advice","0","8","2","FAIL - no events"
"6","what tripod do you recommend?","advice","advice","0","8","2","PASS"
"7","What tripod do you recommend?","advice","advice","0","8","2","PASS"
"8","Do you I get a certificate with the photography course?","advice","advice","0","8","2","PASS"
"9","What sort of camera do I need for your camera course?","advice","advice","0","8","2","PASS"
"10","Do I need a laptop for the lightroom course?","advice","advice","0","8","2","PASS"
"11","Do you do astrophotography workshops?","events","advice","0","4","2","FAIL - no events"
"12","How do I get personalised feedback on my images?","advice","â€”","0","0","0","FAIL - unhandled_exception"
"13","Is the online photography course really free?","advice","advice","0","8","2","PASS"
"14","Can my 14yr old attend your workshop?","advice","advice","0","7","2","PASS"
"15","What is long exposure and how can I find out more about it?","advice","advice","0","8","2","PASS"
"16","My pictures never seem sharp. Can you advise on what I am doing wrong?","advice","advice","0","4","2","PASS"